ID,gk,ram,rb,rcb,rcm,rdm,rf,rm,rs,rw,rwb
20801,24.0,93.0,65.0,57.0,86.0,66.0,94.0,93.0,94.0,94.0,70.0
158023,23.0,93.0,61.0,49.0,88.0,63.0,93.0,93.0,92.0,93.0,66.0
190871,24.0,92.0,63.0,50.0,83.0,63.0,91.0,91.0,88.0,92.0,68.0
176580,41.0,91.0,68.0,62.0,84.0,69.0,91.0,89.0,92.0,90.0,72.0
167495,92.0,51.0,38.0,37.0,52.0,45.0,44.0,48.0,40.0,43.0,40.0
188545,22.0,87.0,61.0,60.0,81.0,65.0,89.0,85.0,91.0,86.0,64.0
193080,91.0,46.0,38.0,37.0,48.0,44.0,40.0,43.0,36.0,39.0,39.0
183277,21.0,91.0,62.0,50.0,84.0,64.0,89.0,90.0,85.0,90.0,67.0
182521,21.0,86.0,79.0,75.0,90.0,85.0,83.0,84.0,80.0,82.0,81.0
167664,20.0,84.0,54.0,49.0,74.0,54.0,86.0,82.0,90.0,84.0,58.0
155862,21.0,73.0,87.0,90.0,77.0,86.0,72.0,74.0,75.0,71.0,84.0
192985,24.0,89.0,69.0,60.0,87.0,73.0,87.0,88.0,84.0,87.0,74.0
192119,89.0,35.0,31.0,31.0,34.0,33.0,32.0,33.0,32.0,31.0,31.0
184941,23.0,88.0,65.0,59.0,82.0,67.0,87.0,88.0,86.0,88.0,69.0
177003,22.0,89.0,81.0,75.0,89.0,83.0,85.0,87.0,79.0,85.0,83.0
173731,22.0,88.0,75.0,70.0,84.0,74.0,89.0,89.0,89.0,89.0,77.0
153079,24.0,88.0,55.0,47.0,78.0,57.0,89.0,87.0,89.0,88.0,60.0
138956,15.0,58.0,81.0,89.0,63.0,79.0,57.0,61.0,62.0,58.0,78.0
1179,89.0,38.0,31.0,32.0,38.0,36.0,35.0,37.0,34.0,34.0,33.0
211110,16.0,88.0,57.0,45.0,80.0,57.0,87.0,88.0,85.0,88.0,62.0
200389,88.0,33.0,31.0,32.0,33.0,32.0,29.0,32.0,29.0,29.0,31.0
194765,24.0,87.0,59.0,51.0,79.0,60.0,87.0,87.0,88.0,88.0,63.0
189509,20.0,88.0,74.0,68.0,87.0,78.0,84.0,85.0,79.0,84.0,77.0
188567,19.0,84.0,64.0,54.0,76.0,61.0,85.0,85.0,87.0,85.0,67.0
184344,14.0,70.0,81.0,88.0,77.0,85.0,67.0,68.0,67.0,64.0,78.0
183907,19.0,70.0,84.0,88.0,76.0,85.0,68.0,72.0,68.0,67.0,82.0
182493,19.0,65.0,81.0,88.0,71.0,82.0,63.0,66.0,66.0,62.0,78.0
178603,20.0,74.0,83.0,88.0,80.0,86.0,71.0,73.0,72.0,70.0,81.0
176635,21.0,88.0,55.0,44.0,82.0,60.0,84.0,86.0,79.0,85.0,61.0
167948,88.0,38.0,36.0,31.0,40.0,38.0,34.0,38.0,31.0,34.0,37.0
164240,21.0,75.0,84.0,88.0,80.0,86.0,71.0,73.0,70.0,70.0,82.0
41236,24.0,87.0,58.0,56.0,82.0,64.0,86.0,84.0,88.0,85.0,62.0
9014,21.0,88.0,61.0,50.0,81.0,62.0,88.0,88.0,85.0,88.0,66.0
215914,21.0,80.0,84.0,83.0,83.0,86.0,77.0,80.0,74.0,77.0,85.0
199556,23.0,84.0,81.0,79.0,87.0,86.0,78.0,82.0,71.0,79.0,82.0
195864,16.0,87.0,78.0,77.0,87.0,82.0,85.0,86.0,84.0,84.0,80.0
190460,19.0,87.0,66.0,55.0,85.0,70.0,83.0,86.0,79.0,84.0,71.0
181872,16.0,84.0,86.0,87.0,86.0,87.0,83.0,83.0,84.0,82.0,86.0
179813,22.0,83.0,64.0,61.0,77.0,65.0,84.0,82.0,87.0,82.0,67.0
176676,19.0,83.0,87.0,85.0,84.0,86.0,82.0,85.0,80.0,83.0,87.0
171877,21.0,87.0,77.0,72.0,87.0,79.0,85.0,85.0,83.0,84.0,79.0
168651,20.0,86.0,72.0,67.0,87.0,77.0,84.0,85.0,81.0,83.0,75.0
168542,13.0,87.0,62.0,53.0,84.0,67.0,83.0,85.0,78.0,84.0,68.0
162835,87.0,34.0,31.0,30.0,35.0,33.0,31.0,34.0,30.0,31.0,32.0
152729,22.0,71.0,81.0,87.0,77.0,84.0,70.0,71.0,72.0,68.0,79.0
41,21.0,87.0,72.0,66.0,87.0,77.0,85.0,87.0,79.0,86.0,75.0
202126,21.0,81.0,62.0,59.0,76.0,64.0,83.0,80.0,86.0,81.0,64.0
198710,23.0,86.0,64.0,56.0,82.0,67.0,85.0,85.0,83.0,85.0,68.0
197781,19.0,87.0,69.0,63.0,86.0,73.0,85.0,84.0,81.0,84.0,72.0
197445,21.0,83.0,86.0,83.0,84.0,85.0,81.0,84.0,80.0,82.0,87.0
192505,20.0,79.0,58.0,55.0,73.0,59.0,82.0,79.0,86.0,79.0,60.0
191043,18.0,79.0,86.0,83.0,80.0,83.0,77.0,82.0,77.0,79.0,86.0
189596,22.0,84.0,69.0,61.0,81.0,68.0,85.0,84.0,86.0,83.0,71.0
189511,20.0,78.0,79.0,83.0,84.0,86.0,74.0,76.0,71.0,72.0,80.0
189242,20.0,87.0,62.0,51.0,81.0,63.0,84.0,85.0,79.0,85.0,66.0
188350,23.0,86.0,66.0,55.0,83.0,67.0,86.0,86.0,85.0,86.0,70.0
184087,23.0,69.0,81.0,86.0,76.0,83.0,68.0,69.0,69.0,66.0,79.0
179944,21.0,74.0,82.0,86.0,78.0,84.0,71.0,73.0,72.0,71.0,81.0
179844,22.0,79.0,61.0,60.0,74.0,63.0,82.0,79.0,86.0,79.0,63.0
178518,21.0,84.0,85.0,83.0,86.0,86.0,83.0,84.0,82.0,82.0,86.0
177610,19.0,69.0,78.0,86.0,74.0,82.0,67.0,67.0,69.0,64.0,76.0
175943,18.0,86.0,62.0,49.0,80.0,62.0,85.0,86.0,80.0,86.0,67.0
172879,18.0,61.0,79.0,86.0,65.0,78.0,62.0,63.0,66.0,60.0,75.0
168609,21.0,65.0,79.0,86.0,69.0,81.0,63.0,65.0,65.0,62.0,77.0
165153,20.0,86.0,54.0,47.0,76.0,56.0,85.0,84.0,86.0,84.0,59.0
162895,22.0,85.0,73.0,67.0,86.0,75.0,82.0,84.0,80.0,82.0,75.0
156616,21.0,86.0,58.0,45.0,81.0,60.0,85.0,86.0,80.0,86.0,64.0
120533,21.0,62.0,78.0,86.0,66.0,79.0,61.0,62.0,64.0,60.0,75.0
48940,86.0,35.0,31.0,30.0,36.0,33.0,31.0,33.0,30.0,31.0,31.0
208418,20.0,84.0,58.0,47.0,76.0,58.0,84.0,85.0,81.0,85.0,62.0
201535,20.0,66.0,79.0,85.0,71.0,81.0,64.0,66.0,64.0,62.0,76.0
201153,15.0,81.0,54.0,47.0,72.0,53.0,83.0,81.0,85.0,82.0,58.0
200145,23.0,76.0,80.0,85.0,81.0,86.0,73.0,73.0,74.0,70.0,79.0
198219,18.0,86.0,57.0,41.0,79.0,56.0,84.0,86.0,78.0,86.0,62.0
193747,22.0,85.0,74.0,70.0,85.0,78.0,82.0,84.0,79.0,82.0,77.0
193301,18.0,83.0,61.0,56.0,76.0,62.0,84.0,82.0,85.0,83.0,64.0
193041,85.0,35.0,30.0,31.0,35.0,33.0,31.0,34.0,30.0,31.0,30.0
192883,18.0,85.0,72.0,64.0,82.0,72.0,84.0,85.0,81.0,85.0,75.0
192593,85.0,32.0,29.0,31.0,31.0,31.0,29.0,31.0,29.0,28.0,29.0
192563,85.0,35.0,31.0,30.0,36.0,34.0,30.0,33.0,28.0,30.0,31.0
192448,86.0,34.0,28.0,31.0,35.0,33.0,30.0,32.0,29.0,29.0,29.0
190547,20.0,49.0,74.0,85.0,57.0,76.0,49.0,52.0,54.0,46.0,70.0
189332,22.0,80.0,85.0,80.0,80.0,82.0,79.0,83.0,77.0,81.0,85.0
186942,21.0,86.0,75.0,71.0,85.0,79.0,82.0,83.0,78.0,82.0,77.0
184432,19.0,74.0,86.0,85.0,78.0,84.0,71.0,76.0,70.0,72.0,85.0
183898,21.0,85.0,69.0,61.0,81.0,69.0,84.0,85.0,80.0,85.0,73.0
180206,18.0,85.0,77.0,72.0,85.0,80.0,81.0,83.0,76.0,81.0,79.0
173210,14.0,84.0,81.0,79.0,85.0,83.0,81.0,83.0,78.0,81.0,82.0
172871,19.0,72.0,82.0,85.0,76.0,83.0,71.0,72.0,72.0,70.0,80.0
170890,21.0,78.0,84.0,84.0,81.0,85.0,76.0,79.0,75.0,76.0,84.0
167628,85.0,32.0,29.0,30.0,33.0,32.0,28.0,31.0,28.0,28.0,29.0
164169,20.0,77.0,85.0,82.0,79.0,83.0,75.0,80.0,74.0,76.0,85.0
139720,19.0,65.0,79.0,85.0,70.0,80.0,64.0,66.0,66.0,63.0,77.0
137186,14.0,60.0,77.0,85.0,65.0,78.0,56.0,59.0,55.0,56.0,73.0
225508,20.0,62.0,78.0,84.0,66.0,77.0,62.0,64.0,61.0,62.0,76.0
220834,20.0,84.0,63.0,52.0,80.0,64.0,82.0,83.0,79.0,83.0,67.0
218667,19.0,84.0,64.0,54.0,80.0,67.0,83.0,84.0,76.0,84.0,69.0
212218,19.0,63.0,79.0,84.0,70.0,80.0,63.0,65.0,65.0,62.0,76.0
211117,19.0,85.0,74.0,71.0,83.0,77.0,84.0,83.0,83.0,82.0,75.0
208722,20.0,83.0,62.0,53.0,76.0,62.0,83.0,84.0,81.0,84.0,65.0
204963,22.0,72.0,85.0,83.0,75.0,82.0,70.0,77.0,67.0,73.0,85.0
202166,21.0,85.0,59.0,51.0,79.0,61.0,84.0,84.0,82.0,84.0,64.0
201399,19.0,77.0,51.0,48.0,69.0,52.0,80.0,75.0,84.0,76.0,53.0
201024,19.0,50.0,76.0,85.0,57.0,75.0,50.0,54.0,53.0,49.0,72.0
200316,84.0,35.0,29.0,29.0,35.0,32.0,32.0,33.0,29.0,32.0,30.0
192774,20.0,51.0,78.0,85.0,58.0,76.0,49.0,55.0,51.0,50.0,74.0
192227,19.0,66.0,78.0,84.0,70.0,80.0,64.0,65.0,67.0,63.0,76.0
191740,20.0,83.0,82.0,80.0,84.0,84.0,80.0,82.0,77.0,80.0,83.0
191202,21.0,76.0,80.0,82.0,81.0,84.0,74.0,76.0,75.0,73.0,80.0
189712,19.0,82.0,80.0,81.0,85.0,85.0,79.0,80.0,78.0,78.0,81.0
189505,20.0,84.0,62.0,52.0,79.0,63.0,83.0,84.0,79.0,84.0,67.0
189117,84.0,34.0,30.0,32.0,34.0,32.0,30.0,33.0,29.0,30.0,31.0
184120,21.0,78.0,76.0,80.0,84.0,84.0,75.0,74.0,73.0,72.0,77.0
181458,17.0,82.0,66.0,58.0,78.0,64.0,82.0,84.0,83.0,83.0,69.0
180930,22.0,79.0,54.0,51.0,75.0,59.0,80.0,77.0,84.0,77.0,57.0
180403,21.0,84.0,70.0,57.0,82.0,70.0,83.0,84.0,76.0,84.0,74.0
179846,21.0,81.0,80.0,83.0,84.0,84.0,79.0,79.0,79.0,77.0,81.0
179783,84.0,30.0,27.0,30.0,30.0,30.0,29.0,29.0,28.0,28.0,28.0
178750,84.0,34.0,31.0,29.0,34.0,32.0,31.0,34.0,29.0,32.0,32.0
178088,19.0,84.0,58.0,47.0,80.0,61.0,82.0,83.0,78.0,82.0,63.0
177509,17.0,60.0,77.0,84.0,64.0,77.0,59.0,62.0,62.0,59.0,74.0
167397,19.0,79.0,56.0,56.0,73.0,60.0,80.0,76.0,84.0,78.0,58.0
165229,20.0,64.0,80.0,84.0,69.0,80.0,61.0,65.0,60.0,61.0,78.0
164468,19.0,63.0,75.0,84.0,67.0,77.0,62.0,60.0,66.0,59.0,71.0
146530,18.0,82.0,84.0,79.0,83.0,82.0,80.0,83.0,77.0,81.0,84.0
143076,19.0,84.0,61.0,47.0,79.0,61.0,84.0,84.0,78.0,84.0,67.0
106231,22.0,79.0,60.0,63.0,72.0,61.0,81.0,76.0,84.0,77.0,61.0
231747,18.0,83.0,66.0,60.0,77.0,66.0,83.0,83.0,84.0,83.0,69.0
231443,19.0,84.0,60.0,47.0,76.0,59.0,83.0,84.0,78.0,84.0,65.0
220971,20.0,83.0,72.0,66.0,83.0,77.0,81.0,82.0,75.0,81.0,76.0
216460,19.0,52.0,75.0,83.0,57.0,74.0,52.0,54.0,57.0,52.0,72.0
215316,84.0,34.0,30.0,30.0,33.0,32.0,30.0,32.0,29.0,30.0,30.0
213565,21.0,84.0,74.0,68.0,80.0,74.0,82.0,84.0,79.0,83.0,77.0
212814,19.0,82.0,76.0,72.0,83.0,79.0,80.0,82.0,76.0,80.0,79.0
212190,20.0,52.0,74.0,82.0,61.0,76.0,53.0,52.0,57.0,49.0,70.0
210257,82.0,36.0,31.0,29.0,34.0,31.0,35.0,36.0,33.0,35.0,31.0
209658,21.0,83.0,83.0,80.0,84.0,83.0,81.0,83.0,80.0,81.0,83.0
209499,20.0,76.0,84.0,84.0,79.0,84.0,75.0,78.0,74.0,75.0,84.0
209331,23.0,83.0,66.0,58.0,77.0,66.0,83.0,84.0,80.0,84.0,70.0
208596,20.0,76.0,54.0,53.0,67.0,54.0,79.0,74.0,83.0,75.0,56.0
